"","ObjectNum","Name","Type","Magnitude","Info","Constellation","List","Season","Zone"
"202","4030","UGC 6993","Galaxy",11,"Size: 4.3  cB, L, vlE, psmbM, B st nr","Virgo","Herschel 400","Spring","Green"
"203","4036","UGC 7005","Galaxy",9.6,"Size: 4.5  vB, vL, E","Ursa Major","Herschel 400","Winter","Green"
"204","4038","ESO 572-47","Galaxy",9.7,"Size: 2.6  pB, cL, R, vgbM","Corvus","Herschel 400","Fall","Green"
"205","4041","UGC 7014","Galaxy",10.1,"Size: 2.8  B, cL, R, g, psvmbMrN","Ursa Major","Herschel 400","Winter","Green"
"206","4051","UGC 7030","Galaxy",9.3,"Size: 5.0  B, vL, E, vgvsmbM *11","Ursa Major","Herschel 400","Winter","Green"
"207","4085","UGC 7075","Galaxy",11.3,"Size: 2.8  B, pL, pmE 78deg , vsbM","Ursa Major","Herschel 400","Winter","Green"
"208","4088","UGC 7081","Galaxy",9.5,"Size: 5.8  B, cL, E 55deg , lbM","Ursa Major","Herschel 400","Winter","Green"
"209","4102","UGC 7096","Galaxy",11,"Size: 3.2  B, pS, R, bMBN, *12 sp, vnr","Ursa Major","Herschel 400","Winter","Green"
"210","4111","UGC 7103","Galaxy",9.8,"Size: 4.8  vB, pS, mE 151deg","Canes Venatici","Herschel 400","Fall","Green"
"211","4143","UGC 7142","Galaxy",11,"Size: 2.9  cB, R, vg, vsbMN","Canes Venatici","Herschel 400","Fall","Green"
"212","4147","NGC 4153","Globular Cluster",10.3,"Size: 4.0  glob. cl. , vB, pL, R, gbM, r","Como Berenices","Herschel 400","Fall","Green"
"213","4150","UGC 7165","Galaxy",10.7,"Size: 2.5  B, S, R, pgmbM","Como Berenices","Herschel 400","Fall","Green"
"214","4151","UGC 7166","Galaxy",9.4,"Size: 5.9  vB, S, R, vsmbMBN, p of 2","Canes Venatici","Herschel 400","Fall","Green"
"215","4179","UGC 7214","Galaxy",9.9,"Size: 4.2  pB, pS, pmE 135deg +/- , bMN","Virgo","Herschel 400","Spring","Green"
"216","4203","UGC 7256","Galaxy",9.7,"Size: 3.6  vB, S, R, psmbM","Como Berenices","Herschel 400","Fall","Green"
