"","product_id","title","author","date","ver.purchase","format","stars","comments","helpful","rver_url","rver_id"
"2383","B01GTP417C","Simply AMAZING!","RNPfrog",2013-09-18,1,"",5,"LOVE LOVE LOVE LOVE LOVE this product!! You can set it up ANYWHERE! The only problem I have is SOOO minor! I just wish they had left enough space in the ""bag"" to put the straps in too.. That way you didn't have to carry two bags around with you.... But that's it! These are AMAZING! We now have one for each member of the family... Even the three year old loves hers! My teen has somewhere to go and hide from the world for awhile.. Even when it's in our own back yard.. We would suggest the double for teens and above. The singles still work GREAT.. But we all enjoy having that extra space (from the double)to wrap up in and get away from the sun or cold air depending on the weather!",NA,"https://www.amazon.com/gp/profile/amzn1.account.AFQFJGNMKDNU2UURNXI6DVEE2ZEQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AFQFJGNMKDNU2UURNXI6DVEE2ZEQ"
"2384","B01GTP417C","ok for 2, but better alone","Val",2013-09-16,1,"
      Powder/RoyalPackage Type: Standard Packaging",4,"make sure to grab your own straps when heading out to camp or lounge or read or whatever reason you got your hammock. my boyfriend and I share it, but it is much more comfy alone. We are well under the 400 lb weight limit, but it still seems a bit cramped with both of us, unless we are ready to snuggle (which we usually are). The color is great and seems to hold up well. Of course if you catch it on something, yes it will snag, but really is a great purchase.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AFUADPHEWSY2WP2R7COXHQULFTPQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AFUADPHEWSY2WP2R7COXHQULFTPQ"
"2385","B01GTP417C","LOVE!","Gigi",2013-09-10,1,"
      Navy/RoyalPackage Type: Standard Packaging",5,"I grew up with hammocks in every room of the house and developed serious envy when I saw a friend with a similar hammock.  I'm glad I spent a few more bucks and purchased the Eagles Nest - DoubleNest.  I'm a petite female so I considered the single person version and I am glad I opted for the extra space.  I can wrap the extra material around me when there is a chill in the air.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AH7VTDOLL5MIXVNRV2AG3C4U4GCQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AH7VTDOLL5MIXVNRV2AG3C4U4GCQ"
"2386","B01GTP417C","Regular Sleeper","J-John.",2013-09-08,1,"
      Sapphire/YellowPackage Type: Standard Packaging",5,"I made the switch to sleep in a hammock about three years ago, and after a long-long-long search for the best hammocks on the market I have settled with the ENO-Doublenest as my nightly hammock. I have found that this is the most comfortable, wide hammock to sleep on; great for if you move a lot during the night or want to ""cuddle up"". It also works great for ""that"" as well.Try it out if you haven't, and remember to sleep on the diagonal!",NA,"https://www.amazon.com/gp/profile/amzn1.account.AH6FGS735NCYOMPGOKB7BXYDEX2Q/ref=cm_cr_arp_d_pdp?ie=UTF8","AH6FGS735NCYOMPGOKB7BXYDEX2Q"
"2387","B01GTP417C","ENO","Lisa T. Mukon",2013-09-08,1,"
      *Red/CharcoalPackage Type: Standard Packaging",5,"Kids use this every weekend to sleep out and hang out in it every afternoon after school.  Best investment made.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AFS3IRXWB7UO2E4VKYBL4M5UQGMQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AFS3IRXWB7UO2E4VKYBL4M5UQGMQ"
"2388","B01GTP417C","kickass hammock","Christopher Masiarczyk",2013-09-07,1,"",5,"this hammock is awesome, plenty of space for two. Folds up nice in attached bag. Doesn't take up much space when you pack it.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AFUEC5ZHUDROS4HTQFWNRPUT6DTQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AFUEC5ZHUDROS4HTQFWNRPUT6DTQ"
"2389","B01GTP417C","Really nice hammock","James Loomis",2013-09-05,1,"
      Navy/OlivePackage Type: Standard Packaging",5,"Very well made. Triple stitching on all the seams and double ply fabric. Cozy with two smaller people. I'm not sure how two larger folks would like it. I do know it holds 300+lbs. without a problem.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AG6RBJ66HBVXV5RTSTWLPVNDS4EA/ref=cm_cr_arp_d_pdp?ie=UTF8","AG6RBJ66HBVXV5RTSTWLPVNDS4EA"
"2390","B01GTP417C","Good buy","Brandon",2013-09-04,1,"
      Charcoal/RoyalPackage Type: Standard Packaging",4,"Ordered this hammock for backpacking since it is lightweight and packs down very small. I slept in this 4 nights in a row and was not disappointed. It was very comfortable once you get the position right. It does not come with the tree straps but you can easily make some out of 550 cord or nylon webbing. Its worth the extra money to go for this double size, with it you can lay asymmetrically which allows you to lay almost in a flat plane. I did test it with two people, although not very comfortable because you are squished together, it did support our weight without stretching or tearing. All in all a great product",NA,"https://www.amazon.com/gp/profile/amzn1.account.AFT4X2K25P5GZHXLSZODWCHJW2DQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AFT4X2K25P5GZHXLSZODWCHJW2DQ"
"2391","B01GTP417C","new favorite place to nest!","PurpleSquirrel",2013-09-04,1,"
      Khaki/MaroonPackage Type: Standard Packaging",5,"Just bought this a couple of weeks ago as my annual addition to our camping gear. We enjoyed our hammock SO much! At various times it was a ""hang out"" for 3 teenage girls, a snuggly place for momma and her 6 yo snuggly boy, R&R for various mommas, and even a little shut-eye time for the 13 yo boy! Definitely strong and sturdy! Very impressed!Bonus~ it is super portable (Due to the small size) , and extremely easy to use with the ENO Slap Straps Pro Hammock straps that I also purchased through Amazon. We were able to set up quick at a park that was a detour on our way home~ hubby got to hang out with the boys by the bay while the girls hit the sidewalk sales~ win/win! :)Planning to keep the hammock and the straps in the car (In their convenient bags) so that we can ""nest"" whenever/wherever the mood strikes us!",NA,"https://www.amazon.com/gp/profile/amzn1.account.AHET7BN5I67P3CDM76OQYFURVSAQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AHET7BN5I67P3CDM76OQYFURVSAQ"
"2392","B01GTP417C","I like it!","Jeff",2013-09-04,1,"
      Khaki/MaroonPackage Type: Standard Packaging",4,"My hammock survived a weekend in Chatanooga, TN. So far, so good. I would recommend this product to anyone looking for a quality, lightweight hammock.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AF2DQCT5JIS2XDRUISYXQYSP7NGQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AF2DQCT5JIS2XDRUISYXQYSP7NGQ"
"2393","B01GTP417C","Best Hammock hands down","B. Spader",2013-09-03,1,"",5,"This is worth every penny!I highly suggest buying to everyone I know.  It is so compact and easy to setup.All you need is 2 short ropes that I usually pack into the same softball size bag that is attached to the hammock.I used it one my 2 week long road trip with my family and set it up every day with ease.  We had my wife, my son, and me in the hammock with no problems at all!I plan to use it backpacking also!",NA,"https://www.amazon.com/gp/profile/amzn1.account.AEQEF3KBUAM54ZBSHVIZZZ43TJGA/ref=cm_cr_arp_d_pdp?ie=UTF8","AEQEF3KBUAM54ZBSHVIZZZ43TJGA"
"2394","B01GTP417C","Excellent Hammock","Kindle Customer",2013-09-01,1,"
      Orange/GreyPackage Type: Standard Packaging",5,"These are excellent products and we were very happy with it.  I would recommend this product and Eagles Nest to anyone.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AFMSY3M42OLXRFUISNGNL53QX7NQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AFMSY3M42OLXRFUISNGNL53QX7NQ"
"2395","B01GTP417C","I purchased this for Fathers Day & my hubby loved it","Aloon222",2013-09-01,1,"
      Khaki/Grey/OlivePackage Type: Standard Packaging",5,"I purchased this for Fathers Day & my hubby loved it. It's made very well. We love how portable it it. He used it at the beach, camping in the mountains & on our back porch! I highly recommend. I've even bought one for my Dad.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AF2ANP6KQ3XSOWOQV352IPZLDOPQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AF2ANP6KQ3XSOWOQV352IPZLDOPQ"
"2396","B01GTP417C","love ENO","Zak Czajkowski",2013-08-30,1,"
      *Red/CharcoalPackage Type: Standard Packaging",5,"Works great. Easy to use. Lightweight and great for hiking or any outdoor activity.  Also holds more than enough weight for a few people!",NA,"https://www.amazon.com/gp/profile/amzn1.account.AHASSO7YRR54MGJHN7VMGZDA6SRA/ref=cm_cr_arp_d_pdp?ie=UTF8","AHASSO7YRR54MGJHN7VMGZDA6SRA"
